study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id
sbmd,PANAS,self,self,ACPL,12.74194,1.200972,229.0,10.37557,15.1083,0.5,40
sbmd,PANAS,self,self,PLAC,17.36364,1.275109,229.0,14.85119,19.87608,0.5,40
sbmd,PANAS,self,self,ACAC,21.32432,1.554633,229.0,18.26111,24.38754,0.5,40
sbmd,PANAS,self,self,PLPL,12.26582,1.071335,229.0,10.15489,14.37676,0.5,41
sbmd,PANAS,self,self,ACPL,11.67742,1.209325,229.0,9.294594,14.06024,0.5,41
sbmd,PANAS,self,self,PLAC,17.2,1.283977,229.0,14.67008,19.72992,0.5,41
sbmd,PANAS,self,self,ACAC,20.86486,1.565445,229.0,17.78035,23.94938,0.5,41
sbmd,PANAS,self,self,PLPL,10.78481,0.9604536,229.0,8.892354,12.67727,0.5,42
sbmd,PANAS,self,self,ACPL,14.06452,1.084162,229.0,11.92831,16.20072,0.5,42
sbmd,PANAS,self,self,PLAC,18.72727,1.151088,229.0,16.45919,20.99535,0.5,42
sbmd,PANAS,self,self,ACAC,21.64865,1.403425,229.0,18.88337,24.41392,0.5,42
sbmd,PANAS,self,self,PLPL,12.36709,1.034898,229.0,10.32795,14.40623,0.5,43
sbmd,PANAS,self,self,ACPL,11.27419,1.168194,229.0,8.97241,13.57598,0.5,43
sbmd,PANAS,self,self,PLAC,18.07273,1.240308,229.0,15.62885,20.5166,0.5,43
sbmd,PANAS,self,self,ACAC,19.72973,1.512203,229.0,16.75012,22.70934,0.5,43
sbmd,PANAS,self,self,PLPL,10.20253,1.083986,229.0,8.06667,12.33839,0.5,44
sbmd,PANAS,self,self,ACPL,10.54839,1.223605,229.0,8.137423,12.95935,0.5,44
sbmd,PANAS,self,self,PLAC,18.47273,1.29914,229.0,15.91293,21.03252,0.5,44
sbmd,PANAS,self,self,ACAC,19.10811,1.583931,229.0,15.98717,22.22905,0.5,44
sbmd,PANAS,self,self,PLPL,9.56962,1.090338,229.0,7.421242,11.718,0.5,45
sbmd,PANAS,self,self,ACPL,10.46774,1.230776,229.0,8.042649,12.89284,0.5,45
sbmd,PANAS,self,self,PLAC,18.07273,1.306753,229.0,15.49793,20.64752,0.5,45
sbmd,PANAS,self,self,ACAC,19.08108,1.593214,229.0,15.94185,22.22031,0.5,45
sbmd,PANAS,self,self,PLPL,11.01266,1.097033,229.0,8.85109,13.17423,0.5,46
sbmd,PANAS,self,self,ACPL,12.14516,1.238333,229.0,9.705179,14.58514,0.5,46
sbmd,PANAS,self,self,PLAC,17.21818,1.314776,229.0,14.62758,19.80879,0.5,46
sbmd,PANAS,self,self,ACAC,20.32432,1.602995,229.0,17.16582,23.48283,0.5,46
sbmd,PANAS,self,self,PLPL,11.72152,0.9423081,229.0,9.864816,13.57822,0.5,47
sbmd,PANAS,self,self,ACPL,14.51613,1.063679,229.0,12.42028,16.61198,0.5,47
sbmd,PANAS,self,self,PLAC,18.30909,1.129341,229.0,16.08386,20.53432,0.5,47
sbmd,PANAS,self,self,ACAC,20.62162,1.37691,229.0,17.90859,23.33465,0.5,47
sbmd,PANAS,self,self,PLPL,10.39241,1.036805,229.0,8.349508,12.4353,0.5,48
sbmd,PANAS,self,self,ACPL,13.22581,1.170348,229.0,10.91978,15.53183,0.5,48
sbmd,PANAS,self,self,PLAC,18.34545,1.242594,229.0,15.89707,20.79383,0.5,48
sbmd,PANAS,self,self,ACAC,18.43243,1.51499,229.0,15.44733,21.41753,0.5,48
sbmd,PANAS,self,self,PLPL,9.493671,1.061768,229.0,7.401587,11.58576,0.5,49
sbmd,PANAS,self,self,ACPL,14.30645,1.198526,229.0,11.9449,16.668,0.5,49
sbmd,PANAS,self,self,PLAC,17.32727,1.272512,229.0,14.81994,19.8346,0.5,49
sbmd,PANAS,self,self,ACAC,20.94595,1.551467,229.0,17.88897,24.00292,0.5,49
sbmd,PANAS,self,self,PLPL,9.392405,1.067048,229.0,7.289918,11.49489,0.5,50
sbmd,PANAS,self,self,ACPL,13.6129,1.204486,229.0,11.23961,15.98619,0.5,50
sbmd,PANAS,self,self,PLAC,18.65455,1.27884,229.0,16.13475,21.17434,0.5,50
sbmd,PANAS,self,self,ACAC,20.21622,1.559181,229.0,17.14404,23.28839,0.5,50
sbmd,PANAS,self,self,PLPL,10.70886,1.093797,229.0,8.553669,12.86405,0.5,51
sbmd,PANAS,self,self,ACPL,12.98387,1.23468,229.0,10.55109,15.41666,0.5,51
sbmd,PANAS,self,self,PLAC,17.63636,1.310898,229.0,15.0534,20.21933,0.5,51
sbmd,PANAS,self,self,ACAC,20.94595,1.598267,229.0,17.79676,24.09513,0.5,51
sbmd,PANAS,self,self,PLPL,9.64557,1.079377,229.0,7.518791,11.77235,0.5,52
sbmd,PANAS,self,self,ACPL,10.75806,1.218402,229.0,8.357353,13.15878,0.5,52
sbmd,PANAS,self,self,PLAC,16.94545,1.293615,229.0,14.39654,19.49436,0.5,52
sbmd,PANAS,self,self,ACAC,19.62162,1.577196,229.0,16.51395,22.72929,0.5,52
sbmd,PANAS,self,self,PLPL,10.07595,1.067365,229.0,7.972838,12.17906,0.5,53
sbmd,PANAS,self,self,ACPL,11.19355,1.204843,229.0,8.819552,13.56754,0.5,53
