study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id
sbmd,creativity,self,self,without_guess,1.0,231.0,2.9173874555149792,0.008196857345115549,0.08897302354065405,0.57143,91
sbmd,creativity,self,self,with_guess,3.0,229.0,19.052754313404098,0.1892598256075091,4.577214491887521e-11,0.57143,91
sbmd,creativity,self,self,without_guess,1.0,231.0,0.0046591324887340965,-0.004308748019408615,0.9456394319907973,0.57143,92
sbmd,creativity,self,self,with_guess,3.0,229.0,16.45839177829655,0.16659235249371507,1.0166172418931702e-09,0.57143,92
sbmd,creativity,self,self,without_guess,1.0,231.0,1.2531383910055476,0.001089924522696406,0.2641165339515549,0.57143,93
sbmd,creativity,self,self,with_guess,3.0,229.0,15.849650682592356,0.16108884780760513,2.12821559909713e-09,0.57143,93
sbmd,creativity,self,self,without_guess,1.0,231.0,7.314021182857417,0.026494543424336325,0.007351184474187858,0.57143,94
sbmd,creativity,self,self,with_guess,3.0,229.0,20.775669887868364,0.20364404156040994,6.091739090387669e-12,0.57143,94
sbmd,creativity,self,self,without_guess,1.0,231.0,1.3759835214335252,0.0016179964716485085,0.24199463826882148,0.57143,95
sbmd,creativity,self,self,with_guess,3.0,229.0,9.01610495400799,0.09392100422524874,1.1444944564299419e-05,0.57143,95
sbmd,creativity,self,self,without_guess,1.0,231.0,11.713530157646552,0.04414063835126092,0.0007338027971311956,0.64286,0
sbmd,creativity,self,self,with_guess,3.0,229.0,27.54921655516996,0.2555695502629184,2.9979866601318856e-15,0.64286,0
sbmd,creativity,self,self,without_guess,1.0,231.0,3.9615796083602812,0.012604527145658184,0.0477287261520002,0.64286,1
sbmd,creativity,self,self,with_guess,3.0,229.0,19.501269506165013,0.1930541678891342,2.698970026150364e-11,0.64286,1
sbmd,creativity,self,self,without_guess,1.0,231.0,6.1105035348847965,0.02155325664066554,0.014160118786572001,0.64286,2
sbmd,creativity,self,self,with_guess,3.0,229.0,24.770838757595797,0.23511234270547454,6.4307852999132e-14,0.64286,2
sbmd,creativity,self,self,without_guess,1.0,231.0,4.949748848272837,0.01673978831320022,0.02706133251059541,0.64286,3
sbmd,creativity,self,self,with_guess,3.0,229.0,14.828376058290074,0.15169061824942842,7.422395926333058e-09,0.64286,3
sbmd,creativity,self,self,without_guess,1.0,231.0,5.260255705238589,0.01803204560378424,0.0227167916101383,0.64286,4
sbmd,creativity,self,self,with_guess,3.0,229.0,14.017098149308506,0.144073447527579,2.019797787066763e-08,0.64286,4
sbmd,creativity,self,self,without_guess,1.0,231.0,4.379967702229771,0.014359623443001124,0.03745517067323911,0.64286,5
sbmd,creativity,self,self,with_guess,3.0,229.0,17.6959365983343,0.17756105742889916,2.294217618115394e-10,0.64286,5
sbmd,creativity,self,self,without_guess,1.0,231.0,4.624534050710292,0.015382668300280788,0.032556168439229115,0.64286,6
sbmd,creativity,self,self,with_guess,3.0,229.0,21.177861907695764,0.20692866965500667,3.822577756456934e-12,0.64286,6
sbmd,creativity,self,self,without_guess,1.0,231.0,4.584708274830921,0.01521621798410211,0.03330552203270716,0.64286,7
sbmd,creativity,self,self,with_guess,3.0,229.0,13.16054396434125,0.13588129525210813,5.861144524808471e-08,0.64286,7
sbmd,creativity,self,self,without_guess,1.0,231.0,15.631372665398157,0.05932486409686566,0.00010235921586295891,0.64286,8
sbmd,creativity,self,self,with_guess,3.0,229.0,26.979674069136124,0.25146566460822195,5.584358601778866e-15,0.64286,8
sbmd,creativity,self,self,without_guess,1.0,231.0,8.018491462985484,0.02936380118553461,0.005038782244213173,0.64286,9
sbmd,creativity,self,self,with_guess,3.0,229.0,26.096398786047295,0.24501087981756842,1.4748577030849934e-14,0.64286,9
sbmd,creativity,self,self,without_guess,1.0,231.0,15.199947231245627,0.05767648365053546,0.00012677648616285316,0.64286,10
sbmd,creativity,self,self,with_guess,3.0,229.0,21.208087196753553,0.20717441971762474,3.691290427694366e-12,0.64286,10
sbmd,creativity,self,self,without_guess,1.0,231.0,8.067838037287968,0.029564152565706436,0.004907944631238232,0.64286,11
sbmd,creativity,self,self,with_guess,3.0,229.0,19.28148837183081,0.1911993145602806,3.4953164449580673e-11,0.64286,11
sbmd,creativity,self,self,without_guess,1.0,231.0,9.347508212867181,0.034730995444621326,0.0024959118674574158,0.64286,12
sbmd,creativity,self,self,with_guess,3.0,229.0,16.988698557631594,0.1713282301473289,5.360048164125833e-10,0.64286,12
sbmd,creativity,self,self,without_guess,1.0,231.0,0.9208305602475638,-0.0003413640748060054,0.33826029588486883,0.64286,13
sbmd,creativity,self,self,with_guess,3.0,229.0,20.053120089197666,0.19767425206189682,1.4134954144267547e-11,0.64286,13
sbmd,creativity,self,self,without_guess,1.0,231.0,14.724653170952811,0.055853789979324775,0.0001605986015916023,0.64286,14
sbmd,creativity,self,self,with_guess,3.0,229.0,16.57671973156025,0.16765375992930065,8.810619433869215e-10,0.64286,14
sbmd,creativity,self,self,without_guess,1.0,231.0,8.843404429794587,0.03270218936577207,0.0032533866272155274,0.64286,15
sbmd,creativity,self,self,with_guess,3.0,229.0,20.583195986609073,0.20206249773927343,7.618524081379219e-12,0.64286,15
sbmd,creativity,self,self,without_guess,1.0,231.0,3.302449138299586,0.009826824887095187,0.07047235381858379,0.64286,16
sbmd,creativity,self,self,with_guess,3.0,229.0,16.685056124544193,0.16862317457825926,7.729750343235986e-10,0.64286,16
sbmd,creativity,self,self,without_guess,1.0,231.0,0.3084014816425205,-0.002989941195077339,0.5792001525346171,0.64286,17
sbmd,creativity,self,self,with_guess,3.0,229.0,19.955412336805768,0.19686010244377083,1.5846063680967942e-11,0.64286,17
sbmd,creativity,self,self,without_guess,1.0,231.0,4.364133238093298,0.014293313054160928,0.037798037113944964,0.64286,18
sbmd,creativity,self,self,with_guess,3.0,229.0,26.489797957948596,0.24789945256325618,9.560260365353661e-15,0.64286,18
sbmd,creativity,self,self,without_guess,1.0,231.0,4.482803369426411,0.014790053963994021,0.035306778415403514,0.64286,19
sbmd,creativity,self,self,with_guess,3.0,229.0,14.730792249143171,0.150781574646618,8.368767162284163e-09,0.64286,19
sbmd,creativity,self,self,without_guess,1.0,231.0,7.601478039210218,0.027667381164023563,0.006298142105871036,0.64286,20
sbmd,creativity,self,self,with_guess,3.0,229.0,16.48108177460661,0.16679609257465722,9.8908634070093e-10,0.64286,20
sbmd,creativity,self,self,without_guess,1.0,231.0,12.014349840615393,0.045323866050870354,0.0006293402412394697,0.64286,21
sbmd,creativity,self,self,with_guess,3.0,229.0,18.9033773530556,0.18798819514053555,5.460386066502958e-11,0.64286,21
sbmd,creativity,self,self,without_guess,1.0,231.0,1.5154762479878312,0.0022169545713940364,0.21955727570494948,0.64286,22
sbmd,creativity,self,self,with_guess,3.0,229.0,13.331688156596242,0.13753064407597604,4.734109262648807e-08,0.64286,22
sbmd,creativity,self,self,without_guess,1.0,231.0,8.08723983276953,0.02964290289070526,0.004857462679678278,0.64286,23
sbmd,creativity,self,self,with_guess,3.0,229.0,25.18666190087917,0.2382453017760604,4.043878226836479e-14,0.64286,23
sbmd,creativity,self,self,without_guess,1.0,231.0,12.09060917029846,0.045623355045068315,0.0006053515306595082,0.64286,24
sbmd,creativity,self,self,with_guess,3.0,229.0,15.580848190948746,0.1586354570006887,2.9532207022209436e-09,0.64286,24
sbmd,creativity,self,self,without_guess,1.0,231.0,5.320413847928357,0.018282017103729897,0.021962958464656665,0.64286,25
sbmd,creativity,self,self,with_guess,3.0,229.0,21.176530813632844,0.20691784354476106,3.828466569926107e-12,0.64286,25
sbmd,creativity,self,self,without_guess,1.0,231.0,3.070954266819039,0.008847549125887477,0.08102944013058241,0.64286,26
sbmd,creativity,self,self,with_guess,3.0,229.0,14.659926734141294,0.1501202036723598,9.131448221040904e-09,0.64286,26
sbmd,creativity,self,self,without_guess,1.0,231.0,13.781500760564544,0.05221595880755259,0.0002574258900540245,0.64286,27
sbmd,creativity,self,self,with_guess,3.0,229.0,24.314700766437415,0.23164586347832627,1.071932551344252e-13,0.64286,27
sbmd,creativity,self,self,without_guess,1.0,231.0,1.2003369561554664,0.0008627763369409847,0.27439528428347937,0.64286,28
sbmd,creativity,self,self,with_guess,3.0,229.0,15.676918043981988,0.15951394354738735,2.62665381181664e-09,0.64286,28
sbmd,creativity,self,self,without_guess,1.0,231.0,14.629427582728825,0.05548776348525419,0.00016840798200871943,0.64286,29
sbmd,creativity,self,self,with_guess,3.0,229.0,20.01926398929085,0.19739233313667004,1.4705678797392533e-11,0.64286,29
sbmd,creativity,self,self,without_guess,1.0,231.0,6.749529399760685,0.024183136825870366,0.009980057065914942,0.64286,30
sbmd,creativity,self,self,with_guess,3.0,229.0,14.032762777260055,0.1442218192242153,1.980985949300341e-08,0.64286,30
sbmd,creativity,self,self,without_guess,1.0,231.0,1.4059032295239247,0.001746527191794467,0.2369559042568815,0.64286,31
sbmd,creativity,self,self,with_guess,3.0,229.0,15.716558100640041,0.15987588764508343,2.5027482597982936e-09,0.64286,31
sbmd,creativity,self,self,without_guess,1.0,231.0,9.752832142515464,0.036356092115810146,0.002019217051159301,0.64286,32
